Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery




Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
0	-62	0	0	3	52 00 84 FF 70 00 2B 27 
2679	-65	1	0	3	92 00 84 04 00 18 1D D4 
2686	-62	2	0	3	82 00 84 29 88 00 C2 CF 
2686	-68	3	0	3	E2 00 84 80 00 00 2C EB 
2686	-60	4	0	3	52 00 84 FF 70 00 2B 27 
2687	-63	5	0	3	A2 00 84 DA 28 00 50 BB 
2686	-64	6	0	3	82 00 84 29 88 00 C2 CF 
2686	-64	7	0	3	E2 00 84 80 00 00 2C EB 
2687	-59	8	0	3	52 00 84 FF 70 00 2B 27 
2686	-70	9	0	3	A2 00 84 DA 28 00 50 BB 
2686	-58	10	0	3	82 00 84 29 88 00 C2 CF 
2687	-58	11	0	3	E2 00 84 80 00 00 2C EB 
2686	-64	12	0	3	52 00 84 FF 70 00 2B 27 
2686	-62	13	0	3	62 00 84 FF C0 00 1A A6 
2686	-59	14	0	3	82 00 84 29 88 00 C2 CF 
2686	-60	15	0	3	E2 00 84 80 00 00 2C EB 
2686	-59	16	0	3	52 00 84 FF 70 00 2B 27 
2686	-71	17	0	3	42 00 84 FF C0 00 2F AE 
2686	-60	18	0	3	82 00 84 29 88 00 C2 CF 
2686	-70	19	0	3	E2 00 84 80 00 00 2C EB 
2686	-59	20	0	3	52 00 84 FF 70 00 2B 27 
2687	-63	21	0	3	92 00 84 04 00 28 2B 87 
RxTime	RSSI	chan	crc err	ID	packet
2687	-64	22	0	3	82 00 84 29 88 00 C2 CF 
2675	-65	23	0	3	E2 00 84 80 00 00 2C EB 
2687	-60	24	0	3	52 00 84 FF 70 00 2B 27 
2686	-68	25	0	3	A2 00 84 E0 28 00 52 DF 
2686	-59	26	0	3	82 00 84 29 88 00 C2 CF 
2687	-59	27	0	3	E2 00 84 80 00 00 2C EB 
2686	-68	28	0	3	52 00 84 FF 70 00 2B 27 
2686	-64	29	0	3	A2 00 84 E0 28 00 52 DF 
2686	-63	30	0	3	82 00 84 29 88 00 C2 CF 
2686	-60	31	0	3	E2 00 84 80 00 00 2C EB 
2686	-66	32	0	3	52 00 84 FF 70 00 2B 27 
2686	-61	33	0	3	62 00 84 FF C0 00 1A A6 
2686	-59	34	0	3	82 00 84 29 88 00 C2 CF 
2686	-65	35	0	3	E2 00 84 80 01 00 1F DA 
2686	-72	36	0	3	52 00 84 FF 71 00 18 16 
2687	-64	37	0	3	42 00 84 FF C1 00 1C 9F 
2686	-59	38	0	3	82 00 84 29 89 00 F1 FE 
2686	-59	39	0	3	E2 00 84 80 01 00 1F DA 
2687	-69	40	0	3	52 00 84 FF 71 00 18 16 
2686	-62	41	0	3	92 00 84 04 01 38 0A 87 
2686	-64	42	0	3	82 00 84 29 89 00 F1 FE 
Got CRC error. E8 3A 28 4A E3 79 C8 43    Seconds since last error: 146    Minutes running: 2.43

72565	-60	18	1	3	A2 00 84 E2 29 00 0F 8E 
RxTime	RSSI	chan	crc err	ID	packet
2687	-69	19	1	3	82 00 84 29 99 00 F2 8D 
2673	-59	20	1	3	E2 00 84 80 01 00 1F DA 
2686	-64	21	1	3	52 00 84 FF 71 00 18 16 
2686	-64	22	1	3	62 00 84 FF C1 00 29 97 
2686	-63	23	1	3	82 00 84 29 89 00 F1 FE 
2686	-58	24	1	3	E2 00 84 80 01 00 1F DA 
2687	-67	25	1	3	52 00 84 FF 71 00 18 16 
Got CRC error. 42 00 C6 FF 60 00 8E CF    Seconds since last error: 93    Minutes running: 4.00

5374	-59	27	2	3	82 00 84 29 89 00 F1 FE 
2687	-67	28	2	3	E2 00 84 80 01 00 1F DA 
2686	-65	29	2	3	52 00 84 FF 71 00 18 16 
2686	-63	30	2	3	92 00 84 04 01 58 66 21 
2687	-60	31	2	3	82 00 84 29 99 00 F2 8D 
2686	-64	32	2	3	E2 00 84 80 01 00 1F DA 
2686	-61	33	2	3	52 00 84 FF 71 00 18 16 
2686	-59	34	2	3	A2 00 84 E3 29 00 38 BE 
2686	-66	35	2	3	82 00 84 29 99 00 F2 8D 
2686	-68	36	2	3	E2 00 84 80 01 00 1F DA 
2686	-69	37	2	3	52 00 84 FF 71 00 18 16 
2687	-59	38	2	3	A2 00 84 E3 29 00 38 BE 
2686	-63	39	2	3	82 00 84 29 99 00 F2 8D 
2686	-70	40	2	3	E2 00 84 80 01 00 1F DA 
2687	-61	41	2	3	52 00 84 FF 71 00 18 16 
RxTime	RSSI	chan	crc err	ID	packet
2687	-70	42	2	3	62 00 84 FF C1 00 29 97 
Got CRC error. 52 E9 5E E8 09 27 46 9F    Seconds since last error: 44    Minutes running: 4.74

72553	-62	18	3	3	52 00 84 FF 71 00 18 16 
2686	-77	19	3	3	92 00 84 04 01 78 42 43 
2687	-59	20	3	3	82 00 84 29 99 00 F2 8D 
2686	-59	21	3	3	E2 00 84 80 01 00 1F DA 
2686	-68	22	3	3	52 00 84 FF 71 00 18 16 
2687	-65	23	3	3	A2 00 84 EB 29 00 91 1F 
2686	-57	24	3	3	82 00 84 29 99 00 F2 8D 
2686	-70	25	3	3	E2 00 84 80 01 00 1F DA 
2687	-59	26	3	3	52 00 84 FF 71 00 18 16 
2686	-63	27	3	3	A2 00 84 EB 29 00 91 1F 
2686	-67	28	3	3	82 00 84 29 99 00 F2 8D 
2686	-67	29	3	3	E2 00 84 80 01 00 1F DA 
2687	-59	30	3	3	52 00 84 FF 71 00 18 16 
2686	-58	31	3	3	62 00 84 FF C1 00 29 97 
2686	-64	32	3	3	82 00 84 29 99 00 F2 8D 
2687	-61	33	3	3	E2 00 84 80 01 00 1F DA 
2686	-60	34	3	3	52 00 84 FF 71 00 18 16 
2686	-67	35	3	3	42 00 84 FF C1 00 1C 9F 
2687	-71	36	3	3	82 00 84 29 99 00 F2 8D 
2686	-63	37	3	3	E2 00 84 80 01 00 1F DA 
2686	-57	38	3	3	52 00 84 FF 71 00 18 16 
RxTime	RSSI	chan	crc err	ID	packet
2686	-64	39	3	3	92 00 84 04 01 88 AD 5C 
2674	-68	40	3	3	82 00 84 29 99 00 F2 8D 
