Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery
Changed ID to 1 to see if CRC errors would get better, but it didn't help
got an error every 130 seconds on average
Packet interval was set too 2562



Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
0	-59	0	0	1	50 00 7E FF 71 00 64 B0 
2552	-58	1	0	1	A0 00 7E D5 29 00 33 1D 
2561	-57	2	0	1	80 00 7E 2B 79 00 F0 F9 
2563	-70	3	0	1	E0 00 7E 80 01 00 63 7C 
2561	-60	4	0	1	50 00 7E FF 71 00 64 B0 
2561	-57	5	0	1	A0 00 7E D5 29 00 33 1D 
2561	-70	6	0	1	80 00 7E 2B 79 00 F0 F9 
2561	-65	7	0	1	E0 00 7E 80 00 00 50 4D 
2562	-59	8	0	1	50 00 7E FF 70 00 57 81 
2561	-64	9	0	1	60 00 7E FF C0 00 66 00 
2561	-59	10	0	1	80 00 7E 2B 78 00 C3 C8 
2561	-58	11	0	1	E0 00 7E 80 00 00 50 4D 
2561	-63	12	0	1	50 00 7E FF 70 00 57 81 
2562	-63	13	0	1	40 00 7E FF C0 00 53 08 
2561	-57	14	0	1	80 00 7E 2B 78 00 C3 C8 
2561	-58	15	0	1	E0 00 7E 80 00 00 50 4D 
2561	-59	16	0	1	50 00 C3 FF 71 00 AC E7 
2561	-62	17	0	1	90 02 C3 02 03 0C 58 E0 
2562	-57	18	0	1	80 04 BF 2B 7B 00 DA 8D 
2562	-70	19	0	1	E0 03 BF 80 03 00 2E DC 
2561	-59	20	0	1	50 02 BF FF 73 00 83 41 
2561	-59	21	0	1	A0 01 BF C5 2B 00 79 5D 
RxTime	RSSI	chan	crc err	ID	packet
2561	-63	22	0	1	80 00 BF 2B 7B 00 53 8B 
2550	-63	23	0	1	E0 00 BF 80 03 00 C0 0E 
2561	-57	24	0	1	50 00 BF FF 73 00 C7 C2 
2561	-68	25	0	1	A0 00 BF C5 2B 00 D3 0C 
2561	-57	26	0	1	80 00 BF 2B 7B 00 53 8B 
2561	-59	27	0	1	E0 00 BF 80 03 00 C0 0E 
2562	-64	28	0	1	50 00 A8 FF 71 00 EB 2A 
2561	-85	29	0	1	60 02 74 FF C3 00 1F 7B 
2561	-57	30	0	1	80 03 79 2B 79 00 4F 06 
2561	-59	31	0	1	E0 02 79 80 03 00 10 B0 
2561	-68	32	0	1	50 01 79 FF 71 00 9F CC 
2561	-61	33	0	1	40 00 79 FF C3 00 57 76 
2561	-58	34	0	1	80 00 79 2B 7B 00 C7 B6 
2562	-67	35	0	1	E0 00 79 80 01 00 32 51 
2562	-69	36	0	1	50 00 79 FF 71 00 35 9D 
2561	-65	37	0	1	90 00 79 04 03 0C 37 B9 
2561	-58	38	0	1	80 01 78 2B 7A 00 28 62 
2561	-58	39	0	1	E0 00 78 80 02 00 11 B6 
2561	-66	40	0	1	50 00 78 FF 72 00 16 7A 
2562	-57	41	0	1	A0 00 78 C4 2A 00 35 84 
2561	-63	42	0	1	80 00 78 2B 7A 00 82 33 
Got CRC error. 5C 7E E0 60 8A FA 0A 31    Seconds since last error: 234    Minutes running: 3.91

69190	-58	18	1	1	60 00 94 FF C3 00 DF 12 
RxTime	RSSI	chan	crc err	ID	packet
2561	-72	19	1	1	80 00 94 2B 6B 00 79 A9 
2550	-60	20	1	1	E0 00 94 80 03 00 E9 5F 
2561	-57	21	1	1	50 00 94 FF 73 00 EE 93 
2561	-62	22	1	1	40 00 94 FF C3 00 EA 1A 
2561	-64	23	1	1	80 00 94 2B 7B 00 7A DA 
2561	-60	24	1	1	E0 00 94 80 03 00 E9 5F 
2561	-74	25	1	1	50 00 94 FF 73 00 EE 93 
2561	-57	26	1	1	90 00 94 04 03 2C AE B7 
2561	-59	27	1	1	80 00 94 2B 6B 00 79 A9 
2562	-66	28	1	1	E0 00 94 80 03 00 E9 5F 
2561	-68	29	1	1	50 00 94 FF 73 00 EE 93 
2561	-58	30	1	1	A0 00 94 BE 2B 00 D2 A4 
2561	-58	31	1	1	80 00 94 2B 6B 00 79 A9 
2562	-68	32	1	1	E0 00 94 80 03 00 E9 5F 
2562	-59	33	1	1	50 00 94 FF 73 00 EE 93 
2561	-58	34	1	1	A0 00 94 BE 2B 00 D2 A4 
2561	-64	35	1	1	80 00 94 2B 6B 00 79 A9 
2561	-72	36	1	1	E0 00 94 80 03 00 E9 5F 
2561	-65	37	1	1	50 00 94 FF 73 00 EE 93 
2562	-58	38	1	1	60 00 94 FF C3 00 DF 12 
2561	-58	39	1	1	80 00 94 2B 6B 00 79 A9 
2561	-68	40	1	1	E0 00 94 80 03 00 E9 5F 
RxTime	RSSI	chan	crc err	ID	packet
2562	-56	41	1	1	50 00 94 FF 73 00 EE 93 
2549	-65	42	1	1	40 00 94 FF C3 00 EA 1A 
2562	-64	43	1	1	80 00 94 2B 6B 00 79 A9 
2561	-60	44	1	1	E0 00 94 80 03 00 E9 5F 
2561	-63	45	1	1	50 00 94 FF 73 00 EE 93 
2561	-57	46	1	1	90 00 94 04 03 3C BC 86 
2561	-70	47	1	1	80 00 94 2B 6B 00 79 A9 
2563	-60	48	1	1	E0 00 94 80 03 00 E9 5F 
2561	-59	49	1	1	50 00 94 FF 73 00 EE 93 
2561	-75	50	1	1	A0 00 92 C5 2B 00 DD C4 
2561	-60	0	1	1	80 01 90 2B 69 00 7F 6B 
2561	-57	1	1	1	E0 00 90 80 01 00 45 CC 
2562	-56	2	1	1	50 00 90 FF 71 00 42 00 
2561	-59	3	1	1	A0 00 90 C5 29 00 56 CE 
2561	-56	4	1	1	80 00 90 2B 69 00 D5 3A 
2561	-55	5	1	1	E0 00 90 80 01 00 45 CC 
2561	-66	6	1	1	50 00 90 FF 71 00 42 00 
2562	-63	7	1	1	60 00 90 FF C1 00 73 81 
2561	-55	8	1	1	80 00 90 2B 69 00 D5 3A 
2561	-62	9	1	1	E0 00 90 80 01 00 45 CC 
2561	-56	10	1	1	50 00 90 FF 71 00 42 00 
2561	-55	11	1	1	40 00 90 FF C1 00 46 89 
RxTime	RSSI	chan	crc err	ID	packet
