Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery
Changed ID to 1 to see if CRC errors would get better, but it didn't help
got an error every 120 seconds on average
Packet interval was set too 2555




Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
1	-59	0	0	1	E0 00 67 80 03 00 ED CE 
2553	-58	1	0	1	50 00 67 FF 73 00 EA 02 
2562	-60	2	0	1	90 00 67 06 03 48 E8 64 
2561	-62	3	0	1	80 00 67 2A 8B 00 5A BA 
2561	-65	4	0	1	E0 00 67 80 03 00 ED CE 
2561	-58	5	0	1	50 00 67 FF 73 00 EA 02 
2561	-61	6	0	1	A0 00 67 F1 2B 00 E7 A9 
2561	-65	7	0	1	80 00 67 2A 7B 00 49 7B 
2561	-59	8	0	1	E0 00 67 80 03 00 ED CE 
2562	-63	9	0	1	50 00 67 FF 73 00 EA 02 
2562	-65	10	0	1	A0 00 67 F1 2B 00 E7 A9 
2561	-57	11	0	1	80 00 67 2A 7B 00 49 7B 
2561	-64	12	0	1	E0 00 67 80 03 00 ED CE 
2561	-60	13	0	1	50 00 67 FF 73 00 EA 02 
2561	-59	14	0	1	60 00 67 FF C3 00 DB 83 
2562	-59	15	0	1	80 00 67 2A 7B 00 49 7B 
2561	-64	16	0	1	E0 00 67 80 03 00 ED CE 
2561	-63	17	0	1	50 00 67 FF 73 00 EA 02 
2561	-58	18	0	1	40 00 67 FF C3 00 EE 8B 
2561	-62	19	0	1	80 00 67 2A 7B 00 49 7B 
2561	-60	20	0	1	E0 00 67 80 03 00 ED CE 
2561	-57	21	0	1	50 00 67 FF 73 00 EA 02 
RxTime	RSSI	chan	crc err	ID	packet
2561	-68	22	0	1	90 00 67 06 03 58 FA 55 
2549	-62	23	0	1	80 00 67 2A 7B 00 49 7B 
2561	-59	24	0	1	E0 00 67 80 03 00 ED CE 
2562	-60	25	0	1	50 00 67 FF 73 00 EA 02 
2561	-57	26	0	1	A0 00 67 F7 2B 00 55 09 
2561	-64	27	0	1	80 00 67 2A 7B 00 49 7B 
2562	-63	28	0	1	E0 00 67 80 03 00 ED CE 
2561	-60	29	0	1	50 00 67 FF 73 00 EA 02 
2561	-57	30	0	1	A0 00 67 F7 2B 00 55 09 
2561	-61	31	0	1	80 00 67 2A 7B 00 49 7B 
2561	-63	32	0	1	E0 00 67 80 03 00 ED CE 
2561	-64	33	0	1	50 00 67 FF 73 00 EA 02 
2561	-67	34	0	1	60 00 67 FF C3 00 DB 83 
2561	-72	35	0	1	80 00 67 2A 7B 00 49 7B 
2562	-63	36	0	1	E0 00 67 80 03 00 ED CE 
2561	-71	37	0	1	50 00 67 FF 73 00 EA 02 
2561	-66	38	0	1	40 00 67 FF C3 00 EE 8B 
2561	-69	39	0	1	80 00 67 2A 7B 00 49 7B 
2561	-71	40	0	1	E0 00 67 80 03 00 ED CE 
2563	-63	41	0	1	50 00 67 FF 73 00 EA 02 
2561	-65	42	0	1	90 00 67 06 03 68 CC 06 
Got CRC error. 83 0A F0 7E 65 BC D1 64    Seconds since last error: 212    Minutes running: 3.54

69190	-64	18	1	1	50 00 67 FF 73 00 EA 02 
RxTime	RSSI	chan	crc err	ID	packet
2562	-64	19	1	1	A0 00 67 00 3B 00 30 B8 
2548	-72	20	1	1	80 00 67 2A 7B 00 49 7B 
2561	-58	21	1	1	E0 00 67 80 03 00 ED CE 
2562	-72	22	1	1	50 00 67 FF 73 00 EA 02 
2561	-68	23	1	1	60 00 67 FF C3 00 DB 83 
2562	-65	24	1	1	80 00 67 2A 7B 00 49 7B 
2561	-60	25	1	1	E0 00 67 80 03 00 ED CE 
2561	-58	26	1	1	50 00 67 FF 73 00 EA 02 
2561	-72	27	1	1	40 00 67 FF C3 00 EE 8B 
